participant,gender,total,total_below_pitch,total_above_pitch,rel_below_pitch,below_avg_size
92,Male,4973,1455,3518,0.29257993163080637,1.5315789473684212
93,Female,10967,2353,8614,0.21455274915656058,1.338452787258248
94,Female,18458,4537,13921,0.2458012785783942,1.3587900569032645
96,Male,14939,4092,10847,0.27391391659414954,1.4057025077293026
95,Male,10553,2851,7702,0.2701601440348716,1.467318579516212
40,Male,14707,3756,10951,0.2553885904671245,1.5520661157024793
39,Female,11656,3341,8315,0.2866334934797529,1.6950786402841198
38,Male,6658,1865,4793,0.28011414839291077,1.7863984674329503
41,Male,9790,2965,6825,0.3028600612870276,1.8246153846153845
42,Male,10381,3682,6699,0.35468644639244773,1.9277486910994763
15,Male,13259,3981,9278,0.30024888754808055,1.6622129436325679
14,Male,3361,1611,1750,0.4793216304671229,2.8066202090592336
13,Male,6815,1941,4874,0.28481291269258985,1.8992172211350293
50,Male,11962,3552,8410,0.2969403109847851,1.649025069637883
16,Female,14444,2751,11693,0.19045970645250623,1.395030425963489
49,Female,6496,1654,4842,0.2546182266009852,1.6105160662122688
47,Male,16075,3884,12191,0.24161741835147746,1.525530243519246
46,Male,13858,3845,10013,0.2774570645114735,1.5522809850625756
43,Male,9431,2585,6846,0.2740960661647757,1.7525423728813558
44,Male,9406,2996,6410,0.3185200935573039,1.8516687268232386
45,Male,5301,1491,3810,0.2812676853423882,1.8072727272727274
51,Female,8494,2045,6449,0.2407581822462915,1.6281847133757963
